year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
2010,"Highland Tinamou",Nothocercus bonapartei,0,53,0
2011,"Highland Tinamou",Nothocercus bonapartei,0,52,0
2012,"Highland Tinamou",Nothocercus bonapartei,0,69.5,0
2013,"Highland Tinamou",Nothocercus bonapartei,1,45,0.022222222222222223
2014,"Highland Tinamou",Nothocercus bonapartei,0,66.5,0
2015,"Highland Tinamou",Nothocercus bonapartei,0,80.5,0
2016,"Highland Tinamou",Nothocercus bonapartei,0,61.35,0
2017,"Highland Tinamou",Nothocercus bonapartei,0,87,0
2018,"Highland Tinamou",Nothocercus bonapartei,0,89.5,0
2019,"Highland Tinamou",Nothocercus bonapartei,0,62,0
2010,"Great Tinamou",Tinamus major,0,53,0
2011,"Great Tinamou",Tinamus major,0,52,0
2012,"Great Tinamou",Tinamus major,1,69.5,0.014388489208633094
2013,"Great Tinamou",Tinamus major,2,45,0.044444444444444446
2014,"Great Tinamou",Tinamus major,1,66.5,0.015037593984962405
2015,"Great Tinamou",Tinamus major,10,80.5,0.12422360248447205
2016,"Great Tinamou",Tinamus major,0,61.35,0
2017,"Great Tinamou",Tinamus major,1,87,0.011494252873563218
2018,"Great Tinamou",Tinamus major,2,89.5,0.0223463687150838
2019,"Great Tinamou",Tinamus major,8,62,0.12903225806451613
2010,"Little Tinamou",Crypturellus soui,2,53,0.03773584905660377
2011,"Little Tinamou",Crypturellus soui,1,52,0.019230769230769232
2012,"Little Tinamou",Crypturellus soui,1,69.5,0.014388489208633094
2013,"Little Tinamou",Crypturellus soui,3,45,0.06666666666666667
2014,"Little Tinamou",Crypturellus soui,4,66.5,0.06015037593984962
2015,"Little Tinamou",Crypturellus soui,5,80.5,0.062111801242236024
2016,"Little Tinamou",Crypturellus soui,2,61.35,0.032599837000814993
2017,"Little Tinamou",Crypturellus soui,2,87,0.022988505747126436
2018,"Little Tinamou",Crypturellus soui,7,89.5,0.0782122905027933
2019,"Little Tinamou",Crypturellus soui,2,62,0.03225806451612903
2010,"Slaty-breasted Tinamou",Crypturellus boucardi,0,53,0
2011,"Slaty-breasted Tinamou",Crypturellus boucardi,3,52,0.057692307692307696
2012,"Slaty-breasted Tinamou",Crypturellus boucardi,0,69.5,0
2013,"Slaty-breasted Tinamou",Crypturellus boucardi,1,45,0.022222222222222223
2014,"Slaty-breasted Tinamou",Crypturellus boucardi,1,66.5,0.015037593984962405
2015,"Slaty-breasted Tinamou",Crypturellus boucardi,1,80.5,0.012422360248447204
2016,"Slaty-breasted Tinamou",Crypturellus boucardi,0,61.35,0
2017,"Slaty-breasted Tinamou",Crypturellus boucardi,0,87,0
2018,"Slaty-breasted Tinamou",Crypturellus boucardi,8,89.5,0.0893854748603352
2019,"Slaty-breasted Tinamou",Crypturellus boucardi,3,62,0.04838709677419355
2010,"Thicket Tinamou",Crypturellus cinnamomeus,0,53,0
2011,"Thicket Tinamou",Crypturellus cinnamomeus,0,52,0
2012,"Thicket Tinamou",Crypturellus cinnamomeus,0,69.5,0
2013,"Thicket Tinamou",Crypturellus cinnamomeus,0,45,0
2014,"Thicket Tinamou",Crypturellus cinnamomeus,0,66.5,0
2015,"Thicket Tinamou",Crypturellus cinnamomeus,1,80.5,0.012422360248447204
2016,"Thicket Tinamou",Crypturellus cinnamomeus,0,61.35,0
2017,"Thicket Tinamou",Crypturellus cinnamomeus,0,87,0
2018,"Thicket Tinamou",Crypturellus cinnamomeus,0,89.5,0
2019,"Thicket Tinamou",Crypturellus cinnamomeus,0,62,0
2010,"Muscovy Duck",Cairina moschata,5,53,0.09433962264150944
2011,"Muscovy Duck",Cairina moschata,0,52,0
2012,"Muscovy Duck",Cairina moschata,0,69.5,0
2013,"Muscovy Duck",Cairina moschata,0,45,0
2014,"Muscovy Duck",Cairina moschata,0,66.5,0
2015,"Muscovy Duck",Cairina moschata,0,80.5,0
2016,"Muscovy Duck",Cairina moschata,1,61.35,0.016299918500407497
2017,"Muscovy Duck",Cairina moschata,0,87,0
2018,"Muscovy Duck",Cairina moschata,0,89.5,0
2019,"Muscovy Duck",Cairina moschata,0,62,0
2010,"Blue-winged Teal",Anas discors,0,53,0
2011,"Blue-winged Teal",Anas discors,0,52,0
2012,"Blue-winged Teal",Anas discors,0,69.5,0
2013,"Blue-winged Teal",Anas discors,0,45,0
2014,"Blue-winged Teal",Anas discors,0,66.5,0
2015,"Blue-winged Teal",Anas discors,2,80.5,0.024844720496894408
2016,"Blue-winged Teal",Anas discors,0,61.35,0
2017,"Blue-winged Teal",Anas discors,0,87,0
2018,"Blue-winged Teal",Anas discors,0,89.5,0
2019,"Blue-winged Teal",Anas discors,0,62,0
2010,"Lesser Scaup",Aythya affinis,0,53,0
2011,"Lesser Scaup",Aythya affinis,0,52,0
2012,"Lesser Scaup",Aythya affinis,0,69.5,0
2013,"Lesser Scaup",Aythya affinis,0,45,0
2014,"Lesser Scaup",Aythya affinis,0,66.5,0
2015,"Lesser Scaup",Aythya affinis,5,80.5,0.062111801242236024
2016,"Lesser Scaup",Aythya affinis,0,61.35,0
2017,"Lesser Scaup",Aythya affinis,0,87,0
2018,"Lesser Scaup",Aythya affinis,0,89.5,0
2019,"Lesser Scaup",Aythya affinis,0,62,0
2010,"Plain Chachalaca",Ortalis vetula,0,53,0
2011,"Plain Chachalaca",Ortalis vetula,1,52,0.019230769230769232
2012,"Plain Chachalaca",Ortalis vetula,1,69.5,0.014388489208633094
2013,"Plain Chachalaca",Ortalis vetula,0,45,0
2014,"Plain Chachalaca",Ortalis vetula,0,66.5,0
2015,"Plain Chachalaca",Ortalis vetula,0,80.5,0
2016,"Plain Chachalaca",Ortalis vetula,0,61.35,0
2017,"Plain Chachalaca",Ortalis vetula,0,87,0
2018,"Plain Chachalaca",Ortalis vetula,0,89.5,0
2019,"Plain Chachalaca",Ortalis vetula,2,62,0.03225806451612903
2010,"Gray-headed Chachalaca",Ortalis cinereiceps,0,53,0
2011,"Gray-headed Chachalaca",Ortalis cinereiceps,6,52,0.11538461538461539
2012,"Gray-headed Chachalaca",Ortalis cinereiceps,3,69.5,0.04316546762589928
2013,"Gray-headed Chachalaca",Ortalis cinereiceps,0,45,0
2014,"Gray-headed Chachalaca",Ortalis cinereiceps,0,66.5,0
2015,"Gray-headed Chachalaca",Ortalis cinereiceps,0,80.5,0
2016,"Gray-headed Chachalaca",Ortalis cinereiceps,0,61.35,0
2017,"Gray-headed Chachalaca",Ortalis cinereiceps,12,87,0.13793103448275862
2018,"Gray-headed Chachalaca",Ortalis cinereiceps,0,89.5,0
2019,"Gray-headed Chachalaca",Ortalis cinereiceps,4,62,0.06451612903225806
